ID_USUARIO;NOMBRE;APELLIDO;FECHA_FACTURACION ;TELEFONO;DIRECCION_DE_ENVIO;NUMERO_DE_FACTURA;ID_PRODUCTO;DESCRIPCION_ PRODUCTO;CORREO_ELECTRONICO;COMPROBANTE_ENVIO
15506444;MARTHA LUCIA;NUÑEZ CUERVO;1978-09-08;3004586808;KRA 3 No.4-59 SUR;FACT020;PRO9;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);POLICIUSD54332@GMAIL.COM;AXC1569993
155366457;LUIS EDUARDO;LEAL BARAHONA;1978-10-11;3004586809;KRA 3 No.4-59 SUR;FACT021;PRO10;BOTA ALPINISTA UNDERARMOR  XL3X ARENA  (TALLA 27 HASTA 42);POOUYH4562@GMAIL.COM;AXC1569994
15536646;RUBEN DARIO;CALLE VEGA;1990-08-09;3004586810;KRA 3 No.4;FACT022;PRO11;BOTA ALPINISTA UNDERARMOR  XLSX NEGRA   (TALLA 27 HASTA 42);POUEMND5469@GMAIL.COM;AXC1569995
15566452;RAFAEL ANTONIO;TORRES ROSAS;1996-12-19;3004586811;KRA 3 No.4-59 SUR;FACT023;PRO5;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);PIUYTHMDS54748@GMAIL.COM;AXC1569996
15566468;HECTOR GUILLERMO;AMAYA;1996-12-19;3004586812;KRA 3 No.4-59 SUR;FACT024;PRO9;ZAPATILA MARCA ADIDAS AERODINAMICA X100 , COLOR BLANCO (TALLA 8 HASTA 46);LJKJSKDN4583@GMAIL.COM;AXC1569997
156469788;BLAS;SAN MARTIN FLOREZ;1996-12-19;3004586813;KRA 3 No.4-59 SUR;FACT025;PRO10;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);POLJSGD48963@GMAIL.COM;AXC1569998
1566451;GILBERTO;VARGAS NARANJO;1999-03-01;3004586814;KRA 3 No.4-59 SUR;FACT026;PRO4;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);AJMNBYD4526@GMAIL.COM;AXC1569999
15664678;HECTOR HERNAN;ERAZO OSORIO;1996-12-19;3004586815;KRA 3 No.4-59 SUR;FACT027;PRO8;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);PILIEPA456@GMAIL.COM;AXC1570000
15PP036460;SOTERO;BAUTISTA LIZARAZO;1996-12-19;3004586816;KRA 3 No.4-59 SUR;FACT028;PRO1;ZAPATILA MARCA ADIDAS AERODINAMICA X100 , COLOR BLANCO (TALLA 8 HASTA 46);POILEM535@GMAIL.COM;AXC1570001
16351378;EDUN;GONZALEZ MORALES;1996-12-19;3004586817;KRA 3 No.4-59 SUR;FACT029;PRO1;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);POLASJBAS452@GMAIL.COM;AXC1570002
164646678;SAMUEL;GONZALEZ;1958-11-01;3004586818;KRA 3 No.4-59 SUR;FACT030;PRO5;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);ABTEIÑL6@GMAIL.COM;AXC1570003
17148162;PEDRO PABLO;CASTAÑEDA SANABRIA;1958-12-19;3004586819;KRA 3 No.4-59 SUR;FACT031;PRO5;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);AOSJASHKD6@GMAIL.COM;AXC1570004
19221385;BENJAMIN;CHIQUILLO MUÑOZ;1976-12-02;3004586820;KRA 2 No.4-59 SUR;FACT032;PRO4;BOTA ALPINISTA UNDERARMOR  XL3X ARENA  (TALLA 27 HASTA 42);PEDRMA@GMAIL.COM;AXC1570005
1L50366461;NORBEY ANTONIO;MORA MERCHAN;1963-10-04;3004586821;KRA 3 No.4-58 SUR;FACT033;PRO2;BOTA ALPINISTA AZUL TIMBERLAND HIPOALERGICA TERMICA  (TALLA 27 HASTA 42);OALVAR6@GMAIL.COM;AXC1570006
4422435;GUILLERMO;FRANCO RESTREPO;1964-03-27;3004586822;KRA 3 No.4-59 SUR;FACT034;PRO2;BOTA ALPINISTA UNDERARMOR  XL3X ARENA  (TALLA 27 HASTA 42);,MNSAJBS@HOITMAIL.COM;AXC1570007
550366458;BERNARDO;SUAREZ MORENO;1975-01-22;3004586823;KRA 5 No.4-59 SUR;FACT035;PRO11;BOTA ALPINISTA AMARILLA UNDERARMOR  (TALLA 27 HASTA 42);OSDJNSMND6@GMAIL.COM;AXC1570008
70048754;JOSE LEON;ECHAVARRIA SEPULVEDA;1978-09-25;3004586823;KRA 3 No.4-59 SUR;FACT036;PRO3;BOTA ALPINISTA AZUL TIMBERLAND HIPOALERGICA TERMICA  (TALLA 27 HASTA 42);ANOCHER@GMAIL.COM;AXC1570009
