NUMERO_CLIENTE;FECHA_DE_INICIO;HORA_INICIO;HORA_FINAL;TIPO_DE_DOCUMENTO;ID_USUARIO;NOMBRES;APELLIDOS;FECHA_DE_NACIMIENTO;CONTRASEÑA;GENERO;TELEFONO;DIRECCION;CORREO_ELECTRONICO;Id_FACTURA;Id_PRODUCTO
22;2022-01-22;11:33:00;12:00:00;CC;155366457;LUIS EDUARDO;LEAL BARAHONA;1990-08-09;SDDSDS62365;MASCULINO ;2147483647;KRA 3 No.4;POUEMND5469@GMAIL.COM;FACT022;PRO10
11;2022-01-11;08:05:00;08:40:00;CE;15536646;RUBEN DARIO;CALLE VEGA;1969-06-17;caa54554;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;LKDJSD6@GMAIL.COM;FACT011;PRO11
17;2022-01-17;15:55:00;17:00:00;CC;15566452;RAFAEL ANTONIO;TORRES ROSAS;1973-04-16;T5454545;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;LJKNMNASB4533@GMAIL.COM;FACT017;PRO5
33;2022-02-02;15:55:00;17:00:00;CC;15566468;HECTOR GUILLERMO;AMAYA;1963-10-04;SAFGTR;MASCULINO ;2147483647;KRA 3 No.4-58 SUR;OALVAR6@GMAIL.COM;FACT033;PRO9
34;2022-02-03;09:38:00;11:54:00;CC;156469788;BLAS;SAN MARTIN FLOREZ;1964-03-27;SANMHY8;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;,MNSAJBS@HOITMAIL.COM;FACT034;PRO10
16;2022-01-16;14:45:00;15:50:00;CE;1566451;GILBERTO;VARGAS NARANJO;1971-11-19;VA5545;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;PPOIUUJ5631@GMAIL.COM;FACT016;PRO4
32;2022-02-01;14:55:00;15:50:00;CC;15664678;HECTOR HERNAN;ERAZO OSORIO;1976-12-02;ERASX;MASCULINO ;2147483647;KRA 2 No.4-59 SUR;PEDRMA@GMAIL.COM;FACT032;PRO8
25;2022-01-25;10:00:00;11:00:00;CE;15PP036460;SOTERO;BAUTISTA LIZARAZO;1996-12-19;MORAED546;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;POLJSGD48963@GMAIL.COM;FACT025;PRO1
1;2021-01-04;08:05:00;08:40:00;CC;16351378;EDUN;GONZALEZ MORALES;1978-12-06;goxab1256;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;OSC.466@GMAIL.COM;FACT001;PRO1
29;2022-01-29;16:15:00;17:05:00;CC;164646678;SAMUEL;GONZALEZ;1996-12-19;GSR5454;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;POLASJBAS452@GMAIL.COM;FACT029;PRO5
5;2022-01-05;11:33:00;12:00:00;CC;17148162;PEDRO PABLO;CASTAÑEDA SANABRIA;1976-01-18;adsetw8789;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;LKSDLKSD@GMAIL.COM;FACT005;PRO5
4;2022-01-04;10:55:00;11:31:00;CC;19221385;BENJAMIN;CHIQUILLO MUÑOZ;1976-07-18;asads4545;MASCULINO ;2147483647;KRA 2 No.4-59 SUR;OSFFDF466@GMAIL.COM;FACT004;PRO4
26;2022-01-26;11:10:00;12:00:00;CC;1L50366461;NORBEY ANTONIO;MORA MERCHAN;1999-03-01;GUROWMLWM5456;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;AJMNBYD4526@GMAIL.COM;FACT026;PRO2
2;2022-01-02;08:45:00;09:43:00;CC;4422435;GUILLERMO;FRANCO RESTREPO;1977-06-07;fraeahb1451;MASCULINO ;2147483647;KRA 1 No.1-59 SUR;AR.466@GMAIL.COM;FACT002;PRO2
23;2022-01-23;07:40:00;08:55:00;CC;550366458;BERNARDO;SUAREZ MORENO;1996-12-19;ASSDXZ1;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;PIUYTHMDS54748@GMAIL.COM;FACT023;PRO11
3;2022-01-03;10:10:00;10:49:00;CC;70048754;JOSE LEON;ECHAVARRIA SEPULVEDA;1976-07-26;echgapod464;MASCULINO ;2147483647;KRA 100 No.4-59 ;O6@GMAIL.COM;FACT003;PRO3
